Rank,Company,Symbol,Weight,Price,Chg,% Chg
345,Genuine Parts Company,GPC,0.047084,85.13,-0.45,-0.53
346,Western Digital Corporation,WDC,0.046855,42.05,-0.26,-0.61
347,ViacomCBS Inc. Class B,VIAC,0.046618,23.50,0.57,2.49
348,Nucor Corporation,NUE,0.046327,39.94,-0.51,-1.26
349,Synchrony Financial,SYF,0.046034,22.67,0.11,0.49
350,Hewlett Packard Enterprise Co.,HPE,0.045398,9.44,0.18,1.94
351,J.M. Smucker Company,SJM,0.045071,104.68,-0.5,-0.48
352,Xylem Inc.,XYL,0.044986,67.34,0.83,1.25
353,ABIOMED Inc.,ABMD,0.044927,264.32,-0.19,-0.07
354,Atmos Energy Corporation,ATO,0.044829,99.69,0.6,0.61
355,Alliant Energy Corp,LNT,0.044638,48.95,-0.1,-0.19
356,Brown-Forman Corporation Class B,BF.B,0.044629,64.68,-0.12,-0.19
357,Arista Networks Inc.,ANET,0.044509,211.50,-4.61,-2.13
358,Waters Corporation,WAT,0.04439,193.27,4.52,2.39
359,IDEX Corporation,IEX,0.044337,159.44,2.5,1.59
360,Leidos Holdings Inc.,LDOS,0.04432,85.10,-2.81,-3.2
361,Omnicom Group Inc,OMC,0.044298,54.53,0.71,1.32
362,E*TRADE Financial Corporation,ETFC,0.044098,52.00,0.56,1.09
363,Hess Corporation,HES,0.043977,45.33,0.43,0.96
364,Expedia Group Inc.,EXPE,0.04369,81.40,-2.14,-2.56
365,NVR Inc.,NVR,0.043169,"3,214.63",-56.08,-1.71
366,KeyCorp,KEY,0.043109,11.77,0.22,1.9
367,Ulta Beauty Inc,ULTA,0.042503,192.90,-3.09,-1.58
368,PerkinElmer Inc.,PKI,0.042361,104.50,3.03,2.99
369,C.H. Robinson Worldwide Inc.,CHRW,0.042026,82.06,-0.15,-0.18
370,NortonLifeLock Inc.,NLOK,0.041789,20.20,-0.1,-0.49
371,ONEOK Inc.,OKE,0.041558,26.33,-0.39,-1.46
372,Seagate Technology PLC,STX,0.041509,47.33,-0.05,-0.11
373,SVB Financial Group,SIVB,0.041482,215.00,3.0,1.42
374,Teledyne Technologies Incorporated,TDY,0.041298,295.69,-0.7,-0.24
375,J.B. Hunt Transport Services Inc.,JBHT,0.041272,125.65,-1.99,-1.56
376,Principal Financial Group Inc.,PFG,0.040967,41.86,-0.03,-0.07
377,Varian Medical Systems Inc.,VAR,0.040884,119.25,0.33,0.28
378,United Rentals Inc.,URI,0.040467,151.99,4.16,2.81
379,Cincinnati Financial Corporation,CINF,0.040441,70.09,-0.39,-0.55
380,Halliburton Company,HAL,0.040146,11.77,-0.29,-2.4
381,UDR Inc.,UDR,0.0401,36.16,-0.02,-0.06
382,Gartner Inc.,IT,0.039962,119.51,0.57,0.48
383,CenterPoint Energy Inc.,CNP,0.039885,19.15,-0.12,-0.62
384,Citizens Financial Group Inc.,CFG,0.039874,24.35,0.17,0.7
385,Westinghouse Air Brake Technologies Corporation,WAB,0.039744,58.06,0.43,0.75
386,Celanese Corporation,CE,0.039595,87.09,0.64,0.74
